student_id,department,year_of_study,cgpa,skill_count,skills,internship_months,projects,certifications,workshops,placed
STU0016,Electronics,4,7.48,8,"['Django', 'Java', 'Linux', 'Machine Learning', 'C++', 'Node.js', 'MongoDB', 'CSS']",5,2,0,7,1
STU0017,Electronics,3,8.15,9,"['Deep Learning', 'C++', 'AWS', 'SQL', 'MySQL', 'JavaScript', 'Linux', 'React', 'MongoDB']",4,5,4,6,1
STU0018,Information Science,4,9.56,5,"['CSS', 'React', 'Java', 'C++', 'Node.js']",3,1,3,9,1
STU0019,Information Science,3,7.62,3,"['Docker', 'CSS', 'Django']",4,3,2,0,1
STU0020,Civil,3,9.5,4,"['AWS', 'CSS', 'HTML', 'Linux']",7,3,0,4,1
STU0021,Civil,4,9.33,7,"['Deep Learning', 'Docker', 'CSS', 'Linux', 'Machine Learning', 'Django', 'AWS']",5,3,0,5,1
STU0022,Electrical,4,8.61,3,"['Java', 'React', 'AWS']",6,0,4,4,0
STU0023,Electronics,4,8.39,7,"['Django', 'SQL', 'React', 'MySQL', 'Linux', 'HTML', 'AWS']",4,4,4,5,1
STU0024,Electronics,4,7.74,3,"['Git', 'React', 'Java']",3,3,4,8,1
STU0025,Electrical,4,8.02,11,"['Deep Learning', 'Node.js', 'Java', 'MongoDB', 'React', 'JavaScript', 'C++', 'SQL', 'Docker', 'AWS', 'Git']",5,0,4,5,1
STU0026,Mechanical,4,6.25,9,"['Django', 'C++', 'Python', 'Docker', 'JavaScript', 'Node.js', 'MySQL', 'Java', 'SQL']",2,5,0,8,0
STU0027,Information Science,3,6.81,5,"['SQL', 'AWS', 'C++', 'Deep Learning', 'Linux']",1,0,2,0,1
STU0028,Computer Science,4,7.16,3,"['Machine Learning', 'SQL', 'Python']",5,0,2,3,0
STU0029,Mechanical,4,7.02,4,"['NLP', 'SQL', 'MongoDB', 'Node.js']",4,4,1,2,1
STU0030,Civil,4,8.82,4,"['HTML', 'NLP', 'Machine Learning', 'MySQL']",1,0,1,0,0
STU0031,Electronics,4,8.2,7,"['Django', 'Machine Learning', 'HTML', 'Git', 'Docker', 'Python', 'MongoDB']",1,4,1,2,1
STU0032,Electrical,3,6.33,4,"['React', 'SQL', 'MongoDB', 'Linux']",0,0,2,3,0
STU0033,Computer Science,4,7.56,9,"['Python', 'Node.js', 'MySQL', 'MongoDB', 'HTML', 'SQL', 'Linux', 'CSS', 'Git']",6,0,4,9,1
STU0034,Electronics,4,6.36,8,"['HTML', 'React', 'Django', 'Deep Learning', 'Python', 'MongoDB', 'CSS', 'JavaScript']",5,3,1,1,0
STU0035,Electrical,3,6.91,7,"['Django', 'Java', 'Machine Learning', 'MySQL', 'Git', 'HTML', 'NLP']",3,2,3,5,1
STU0036,Electronics,3,5.55,5,"['JavaScript', 'Django', 'MySQL', 'Node.js', 'Python']",1,5,4,3,0
STU0037,Electronics,4,8.81,4,"['Deep Learning', 'CSS', 'Linux', 'Node.js']",6,0,4,1,0
STU0038,Computer Science,4,6.13,5,"['Java', 'Machine Learning', 'JavaScript', 'MongoDB', 'Django']",5,1,3,8,1
STU0039,Mechanical,4,5.56,10,"['MySQL', 'Deep Learning', 'Git', 'SQL', 'HTML', 'Java', 'MongoDB', 'Machine Learning', 'Node.js', 'NLP']",5,2,2,7,0
STU0040,Civil,4,5.49,3,"['Linux', 'Machine Learning', 'React']",4,3,4,7,0
STU0041,Electrical,3,6.92,6,"['Python', 'JavaScript', 'Node.js', 'React', 'MySQL', 'CSS']",6,1,2,9,0
STU0042,Computer Science,3,7.04,3,"['Machine Learning', 'CSS', 'Node.js']",4,5,0,5,1
STU0043,Information Science,4,5.55,7,"['AWS', 'Linux', 'Django', 'Machine Learning', 'NLP', 'MongoDB', 'Java']",3,0,1,5,0
STU0044,Civil,4,6.99,3,"['C++', 'Node.js', 'AWS']",3,4,0,6,0
STU0045,Electronics,4,8.67,5,"['HTML', 'Machine Learning', 'JavaScript', 'Git', 'Deep Learning']",3,0,4,6,1
STU0046,Information Science,4,8.84,5,"['CSS', 'Machine Learning', 'AWS', 'SQL', 'HTML']",2,2,0,7,1
STU0047,Civil,4,7.8,10,"['React', 'MongoDB', 'NLP', 'C++', 'MySQL', 'Python', 'Node.js', 'Machine Learning', 'Java', 'JavaScript']",3,1,1,0,1
STU0048,Computer Science,4,9.73,4,"['Deep Learning', 'Machine Learning', 'JavaScript', 'React']",6,0,1,2,0
STU0049,Electrical,3,7.66,11,"['MySQL', 'C++', 'MongoDB', 'Python', 'Git', 'React', 'AWS', 'NLP', 'CSS', 'HTML', 'Django']",0,5,1,6,0
STU0050,Electronics,3,5.88,11,"['C++', 'Deep Learning', 'Docker', 'MongoDB', 'Linux', 'MySQL', 'Django', 'SQL', 'Git', 'Python', 'Machine Learning']",4,3,2,9,0
STU0051,Computer Science,4,9.04,6,"['Machine Learning', 'AWS', 'Node.js', 'Linux', 'SQL', 'Docker']",0,5,2,1,1
STU0052,Information Science,4,5.03,7,"['SQL', 'HTML', 'CSS', 'Git', 'Java', 'NLP', 'C++']",3,2,4,0,0
STU0053,Information Science,4,9.74,3,"['Machine Learning', 'SQL', 'Django']",4,1,1,6,1
STU0054,Electronics,4,8.12,9,"['Linux', 'Python', 'HTML', 'CSS', 'Django', 'Machine Learning', 'MongoDB', 'NLP', 'SQL']",7,2,3,1,1
STU0055,Civil,4,7.22,10,"['C++', 'Deep Learning', 'MongoDB', 'Django', 'Docker', 'Machine Learning', 'HTML', 'Linux', 'MySQL', 'Java']",1,5,2,6,1
STU0056,Civil,3,5.53,5,"['C++', 'CSS', 'Java', 'Python', 'Git']",5,5,1,3,1
STU0057,Computer Science,4,9.24,3,"['Linux', 'JavaScript', 'CSS']",7,2,4,1,1
STU0058,Civil,3,9.24,6,"['SQL', 'NLP', 'Git', 'MySQL', 'JavaScript', 'HTML']",2,3,1,0,1
STU0059,Computer Science,4,5.62,5,"['NLP', 'Machine Learning', 'JavaScript', 'Python', 'Docker']",0,2,0,1,1
STU0060,Information Science,4,9.09,11,"['Node.js', 'C++', 'Python', 'AWS', 'JavaScript', 'SQL', 'Git', 'Docker', 'MySQL', 'Machine Learning', 'Django']",7,4,4,2,1
STU0061,Computer Science,3,7.97,10,"['SQL', 'JavaScript', 'Django', 'Docker', 'Machine Learning', 'Deep Learning', 'NLP', 'HTML', 'Node.js', 'Git']",5,3,4,9,1
STU0062,Electronics,4,5.56,9,"['Node.js', 'MongoDB', 'NLP', 'Python', 'C++', 'CSS', 'Linux', 'React', 'MySQL']",1,3,4,2,0
STU0063,Electronics,3,7.98,11,"['C++', 'React', 'JavaScript', 'MySQL', 'Deep Learning', 'Node.js', 'MongoDB', 'Machine Learning', 'Python', 'NLP', 'Django']",2,1,1,3,1
STU0064,Information Science,4,9.1,9,"['AWS', 'React', 'Docker', 'MongoDB', 'SQL', 'HTML', 'Node.js', 'MySQL', 'Java']",6,4,4,3,1
STU0065,Computer Science,4,9.29,6,"['Machine Learning', 'Java', 'JavaScript', 'Node.js', 'Linux', 'Django']",6,1,4,2,1
STU0066,Computer Science,4,9.42,4,"['CSS', 'AWS', 'Docker', 'Machine Learning']",2,3,0,6,1
STU0067,Computer Science,4,8.27,6,"['JavaScript', 'Git', 'Docker', 'Django', 'Python', 'Machine Learning']",1,5,2,8,1
STU0068,Information Science,4,9.24,11,"['Git', 'C++', 'HTML', 'JavaScript', 'Machine Learning', 'MongoDB', 'Java', 'Docker', 'Django', 'Linux', 'SQL']",5,0,4,3,1
STU0069,Electronics,4,6.43,4,"['HTML', 'MySQL', 'SQL', 'AWS']",3,1,3,3,0
STU0070,Civil,4,6.05,6,"['Deep Learning', 'AWS', 'NLP', 'Python', 'HTML', 'React']",6,5,3,7,1
STU0071,Mechanical,4,9.61,5,"['SQL', 'Linux', 'Docker', 'Django', 'Python']",1,4,3,4,1
STU0072,Computer Science,3,6.72,6,"['Python', 'Django', 'React', 'Docker', 'C++', 'Git']",2,4,1,7,1
STU0073,Electronics,4,7.47,10,"['React', 'AWS', 'C++', 'MongoDB', 'Django', 'Node.js', 'Python', 'MySQL', 'CSS', 'Deep Learning']",0,3,1,6,0
STU0074,Electrical,3,7.07,4,"['Node.js', 'Linux', 'Deep Learning', 'Machine Learning']",3,2,3,0,0
STU0075,Electrical,3,5.59,11,"['MySQL', 'JavaScript', 'Node.js', 'Java', 'Machine Learning', 'Docker', 'C++', 'SQL', 'CSS', 'Django', 'React']",4,3,1,0,0
STU0076,Information Science,3,7.55,7,"['CSS', 'MongoDB', 'JavaScript', 'Deep Learning', 'C++', 'Django', 'AWS']",6,5,4,3,1
STU0077,Mechanical,4,6.17,9,"['Node.js', 'NLP', 'SQL', 'Deep Learning', 'C++', 'Machine Learning', 'Git', 'Linux', 'MySQL']",1,0,3,7,1
STU0078,Electrical,4,6.39,5,"['Deep Learning', 'C++', 'SQL', 'MongoDB', 'MySQL']",2,3,1,5,0
STU0079,Computer Science,4,8.34,4,"['MySQL', 'Machine Learning', 'Git', 'Java']",3,4,0,0,1
STU0080,Electrical,4,5.52,5,"['AWS', 'JavaScript', 'MySQL', 'Python', 'SQL']",4,1,4,3,0
STU0081,Information Science,4,6.23,7,"['JavaScript', 'Machine Learning', 'Python', 'React', 'Java', 'MySQL', 'CSS']",3,5,2,2,0
STU0082,Electrical,4,8.92,4,"['C++', 'React', 'Linux', 'CSS']",3,4,1,6,1
STU0083,Mechanical,3,7.03,8,"['AWS', 'CSS', 'JavaScript', 'NLP', 'SQL', 'HTML', 'C++', 'Java']",1,0,1,2,1
STU0084,Electronics,4,6.23,9,"['Node.js', 'AWS', 'Deep Learning', 'React', 'SQL', 'MySQL', 'Machine Learning', 'CSS', 'Docker']",4,4,0,8,1
STU0085,Mechanical,4,7.86,4,"['NLP', 'Docker', 'Git', 'Linux']",0,0,2,5,0
STU0086,Mechanical,4,8.51,4,"['Git', 'Deep Learning', 'Python', 'Django']",5,3,3,9,1
STU0087,Computer Science,4,8.22,11,"['Java', 'Node.js', 'Git', 'MongoDB', 'Docker', 'HTML', 'CSS', 'AWS', 'Deep Learning', 'JavaScript', 'C++']",3,5,1,7,1
STU0088,Electrical,4,6.34,8,"['Machine Learning', 'Deep Learning', 'MySQL', 'React', 'CSS', 'Git', 'Linux', 'C++']",1,3,1,6,0
STU0089,Information Science,4,5.83,8,"['MySQL', 'Node.js', 'Django', 'Docker', 'Linux', 'SQL', 'JavaScript', 'Deep Learning']",1,2,1,3,0
STU0090,Information Science,3,7.43,11,"['Machine Learning', 'NLP', 'JavaScript', 'Java', 'React', 'HTML', 'Linux', 'Git', 'Node.js', 'Deep Learning', 'C++']",6,3,4,3,1
STU0091,Mechanical,4,8.76,8,"['Docker', 'SQL', 'MySQL', 'CSS', 'AWS', 'Linux', 'Python', 'JavaScript']",5,2,3,0,1
STU0092,Information Science,3,6.99,10,"['Node.js', 'Python', 'Deep Learning', 'C++', 'React', 'Linux', 'MongoDB', 'Machine Learning', 'Java', 'Django']",5,4,4,5,1
STU0093,Mechanical,3,7.34,7,"['C++', 'Django', 'SQL', 'Deep Learning', 'Node.js', 'AWS', 'Docker']",2,0,3,4,1
STU0094,Information Science,3,6.51,7,"['AWS', 'Docker', 'JavaScript', 'Deep Learning', 'Machine Learning', 'Python', 'MySQL']",0,1,3,0,1
STU0095,Computer Science,4,5.41,10,"['Node.js', 'MongoDB', 'Git', 'Linux', 'Machine Learning', 'NLP', 'SQL', 'HTML', 'C++', 'Docker']",2,0,4,2,0
STU0096,Electronics,3,7.47,7,"['Python', 'Git', 'Linux', 'Django', 'Java', 'AWS', 'CSS']",0,0,0,1,0
STU0097,Computer Science,4,8.9,6,"['Python', 'Linux', 'C++', 'NLP', 'Django', 'Deep Learning']",3,1,2,9,1
STU0098,Information Science,4,8.22,9,"['AWS', 'JavaScript', 'MySQL', 'MongoDB', 'Python', 'Linux', 'C++', 'Git', 'HTML']",5,0,3,8,1
STU0099,Mechanical,4,8.29,7,"['C++', 'Python', 'Linux', 'Java', 'MySQL', 'HTML', 'SQL']",3,2,1,2,1
STU0100,Civil,4,9.22,7,"['MySQL', 'Java', 'CSS', 'Docker', 'MongoDB', 'AWS', 'SQL']",1,2,0,9,1
STU0101,Information Science,4,8.26,9,"['React', 'C++', 'HTML', 'Django', 'JavaScript', 'Git', 'Python', 'MySQL', 'NLP']",7,2,2,4,1
STU0102,Civil,4,9.2,6,"['Java', 'MongoDB', 'AWS', 'Deep Learning', 'Python', 'NLP']",4,5,2,7,1
STU0103,Electronics,4,8.53,9,"['Deep Learning', 'Python', 'MongoDB', 'NLP', 'Node.js', 'Linux', 'Django', 'JavaScript', 'HTML']",0,1,3,0,0
STU0104,Civil,4,5.79,11,"['Machine Learning', 'C++', 'React', 'NLP', 'Docker', 'MongoDB', 'HTML', 'Java', 'Node.js', 'JavaScript', 'Django']",2,0,4,5,0
STU0105,Electrical,3,9.34,5,"['Git', 'Linux', 'JavaScript', 'CSS', 'React']",2,0,0,3,1
STU0106,Electronics,3,9.09,11,"['Django', 'Linux', 'Node.js', 'MySQL', 'HTML', 'Python', 'Java', 'Deep Learning', 'Git', 'React', 'AWS']",2,3,1,9,1
STU0107,Information Science,3,7.37,6,"['C++', 'Django', 'Linux', 'Machine Learning', 'NLP', 'Node.js']",4,1,4,2,1
STU0108,Information Science,3,8.47,3,"['AWS', 'C++', 'Git']",0,5,0,0,1
STU0109,Civil,3,5.54,8,"['MongoDB', 'NLP', 'JavaScript', 'AWS', 'SQL', 'Git', 'C++', 'React']",2,1,2,2,1
STU0110,Electrical,4,5.45,6,"['JavaScript', 'Linux', 'Django', 'C++', 'Python', 'Machine Learning']",2,3,0,9,0
STU0111,Electrical,4,9.31,9,"['CSS', 'Java', 'AWS', 'Linux', 'Python', 'JavaScript', 'MySQL', 'SQL', 'Node.js']",1,1,3,3,1
STU0112,Computer Science,4,9.65,9,"['MySQL', 'NLP', 'Docker', 'Node.js', 'Django', 'SQL', 'HTML', 'JavaScript', 'Machine Learning']",2,0,3,6,1
STU0113,Information Science,3,5.38,9,"['Docker', 'React', 'MongoDB', 'Git', 'Linux', 'MySQL', 'Python', 'C++', 'Node.js']",4,2,4,8,1
STU0114,Mechanical,4,8.96,11,"['Docker', 'AWS', 'Python', 'JavaScript', 'Django', 'Machine Learning', 'MySQL', 'SQL', 'C++', 'CSS', 'MongoDB']",5,0,4,2,1
STU0115,Electronics,4,5.8,5,"['Django', 'Linux', 'React', 'Machine Learning', 'Docker']",3,3,0,7,0
STU0116,Information Science,4,6.25,11,"['Java', 'Deep Learning', 'MongoDB', 'React', 'Docker', 'JavaScript', 'Python', 'AWS', 'Machine Learning', 'SQL', 'NLP']",0,5,2,6,0
STU0117,Civil,4,8.96,8,"['NLP', 'HTML', 'JavaScript', 'Linux', 'AWS', 'Java', 'CSS', 'Machine Learning']",2,0,3,3,1
STU0118,Mechanical,4,6.43,11,"['MongoDB', 'MySQL', 'C++', 'Java', 'JavaScript', 'NLP', 'Machine Learning', 'Deep Learning', 'Node.js', 'Python', 'Linux']",2,5,0,3,0
STU0119,Computer Science,3,5.55,11,"['CSS', 'Machine Learning', 'MySQL', 'Git', 'SQL', 'React', 'MongoDB', 'JavaScript', 'HTML', 'Java', 'Deep Learning']",4,0,4,8,0
STU0120,Electrical,4,8.07,3,"['MongoDB', 'JavaScript', 'Python']",6,3,3,3,1
STU0121,Computer Science,4,9.36,5,"['SQL', 'C++', 'Django', 'HTML', 'Linux']",2,3,1,0,1
STU0122,Electrical,3,8.85,3,"['JavaScript', 'HTML', 'Java']",0,5,1,5,1
STU0123,Civil,3,6.32,10,"['Java', 'SQL', 'Linux', 'Git', 'CSS', 'AWS', 'Docker', 'Machine Learning', 'MongoDB', 'NLP']",0,3,2,7,1
STU0124,Electronics,4,5.58,3,"['CSS', 'MySQL', 'NLP']",3,3,0,0,0
STU0125,Information Science,3,8.56,9,"['HTML', 'JavaScript', 'Docker', 'MongoDB', 'NLP', 'SQL', 'React', 'Python', 'CSS']",4,5,2,7,1
STU0126,Mechanical,3,6.94,5,"['Django', 'Linux', 'C++', 'Java', 'MySQL']",4,0,4,5,1
STU0127,Information Science,4,5.68,5,"['HTML', 'Django', 'MongoDB', 'Docker', 'Java']",7,0,0,3,0
STU0128,Information Science,3,7.33,5,"['C++', 'MySQL', 'AWS', 'JavaScript', 'Node.js']",7,2,2,3,1
STU0129,Electrical,4,5.42,8,"['Node.js', 'React', 'Python', 'Java', 'SQL', 'MySQL', 'JavaScript', 'C++']",2,5,3,0,0
STU0130,Computer Science,4,6.64,7,"['SQL', 'Docker', 'Python', 'NLP', 'Django', 'Git', 'React']",3,4,3,6,0
STU0131,Electronics,4,5.71,10,"['Node.js', 'Docker', 'HTML', 'JavaScript', 'MySQL', 'Machine Learning', 'NLP', 'CSS', 'React', 'Linux']",4,0,4,3,1
STU0132,Electrical,4,9.56,8,"['C++', 'MySQL', 'Django', 'Node.js', 'Java', 'Docker', 'Machine Learning', 'SQL']",1,3,3,3,1
STU0133,Mechanical,3,8.67,6,"['SQL', 'Git', 'Django', 'NLP', 'Linux', 'HTML']",3,4,2,8,1
STU0134,Electronics,3,5.65,3,"['MongoDB', 'SQL', 'Node.js']",5,4,3,1,0
STU0135,Information Science,3,8.16,11,"['Deep Learning', 'Java', 'Node.js', 'CSS', 'NLP', 'Docker', 'HTML', 'Linux', 'SQL', 'Django', 'MongoDB']",6,0,3,2,1
STU0136,Computer Science,4,9.58,9,"['Django', 'Python', 'MongoDB', 'JavaScript', 'Machine Learning', 'HTML', 'Git', 'AWS', 'NLP']",2,5,1,7,1
STU0137,Electronics,4,6.08,8,"['MySQL', 'SQL', 'Python', 'Node.js', 'HTML', 'Deep Learning', 'Machine Learning', 'CSS']",0,5,4,4,0
STU0138,Information Science,4,8.46,8,"['Django', 'Git', 'C++', 'Python', 'Node.js', 'Docker', 'JavaScript', 'HTML']",3,5,1,1,1
STU0139,Computer Science,3,8.56,11,"['C++', 'SQL', 'HTML', 'Linux', 'React', 'Deep Learning', 'JavaScript', 'Docker', 'Django', 'CSS', 'Java']",4,3,2,8,1
STU0140,Information Science,3,7.71,11,"['Machine Learning', 'Node.js', 'JavaScript', 'Git', 'Deep Learning', 'HTML', 'MongoDB', 'Linux', 'React', 'CSS', 'Python']",3,2,0,7,1
STU0141,Information Science,4,5.5,7,"['Git', 'Java', 'Docker', 'JavaScript', 'CSS', 'C++', 'MongoDB']",5,3,0,2,0
STU0142,Electronics,4,7.92,5,"['Deep Learning', 'MySQL', 'Git', 'Django', 'Python']",1,0,3,1,1
STU0143,Electronics,4,6.82,7,"['AWS', 'Docker', 'Git', 'Django', 'JavaScript', 'MySQL', 'Linux']",7,1,0,3,1
STU0144,Civil,4,5.08,8,"['Django', 'HTML', 'C++', 'Java', 'React', 'AWS', 'Linux', 'JavaScript']",2,5,0,1,0
STU0145,Information Science,4,5.73,9,"['MongoDB', 'Java', 'Docker', 'Git', 'CSS', 'Python', 'Machine Learning', 'React', 'Node.js']",7,2,4,8,1
STU0146,Electronics,4,7.99,9,"['Docker', 'AWS', 'Machine Learning', 'Git', 'Django', 'Deep Learning', 'C++', 'Python', 'Linux']",1,2,4,2,1
STU0147,Mechanical,4,8.31,10,"['Java', 'HTML', 'JavaScript', 'C++', 'AWS', 'Machine Learning', 'Node.js', 'Django', 'CSS', 'MongoDB']",1,0,1,4,1
STU0148,Mechanical,4,7.08,10,"['Django', 'C++', 'SQL', 'Linux', 'Git', 'JavaScript', 'React', 'Node.js', 'Docker', 'MySQL']",5,2,4,7,1
STU0149,Electrical,3,6.25,3,"['Docker', 'JavaScript', 'Python']",0,1,2,6,0
STU0150,Civil,4,7.2,8,"['Node.js', 'Linux', 'Machine Learning', 'C++', 'Django', 'CSS', 'Docker', 'AWS']",0,2,3,7,1
STU0151,Computer Science,3,7.31,11,"['Node.js', 'MySQL', 'Python', 'CSS', 'Docker', 'C++', 'JavaScript', 'Java', 'AWS', 'React', 'Linux']",4,4,1,3,1
STU0152,Computer Science,3,6.85,9,"['React', 'AWS', 'NLP', 'CSS', 'Node.js', 'Django', 'Machine Learning', 'MySQL', 'Linux']",4,2,1,3,1
STU0153,Electronics,3,7.78,6,"['MongoDB', 'Docker', 'C++', 'JavaScript', 'SQL', 'Linux']",2,3,1,2,1
STU0154,Information Science,4,9.1,9,"['CSS', 'Node.js', 'C++', 'MySQL', 'Python', 'NLP', 'Django', 'Deep Learning', 'Java']",3,5,0,3,1
STU0155,Computer Science,4,5.22,7,"['HTML', 'CSS', 'JavaScript', 'Django', 'Node.js', 'MongoDB', 'NLP']",3,4,4,4,1
STU0156,Information Science,4,8.18,8,"['Node.js', 'Python', 'Java', 'NLP', 'Linux', 'Deep Learning', 'Docker', 'AWS']",6,0,4,6,1
STU0157,Electronics,4,8.4,7,"['MySQL', 'Java', 'AWS', 'NLP', 'C++', 'Python', 'Node.js']",2,1,0,0,1
STU0158,Information Science,4,7.15,8,"['Java', 'AWS', 'Machine Learning', 'Django', 'C++', 'React', 'JavaScript', 'Docker']",1,2,0,6,1
STU0159,Mechanical,4,9.55,11,"['MongoDB', 'NLP', 'React', 'Git', 'Machine Learning', 'JavaScript', 'Python', 'C++', 'HTML', 'Deep Learning', 'SQL']",0,0,2,9,0
STU0160,Electronics,4,7.42,5,"['AWS', 'HTML', 'Node.js', 'Django', 'Git']",2,5,4,2,1
STU0161,Electronics,3,8.24,11,"['Python', 'Django', 'Git', 'MongoDB', 'AWS', 'MySQL', 'Docker', 'Machine Learning', 'Deep Learning', 'JavaScript', 'Linux']",3,0,0,4,1
STU0162,Electrical,4,6.79,3,"['JavaScript', 'SQL', 'Linux']",3,0,4,3,0
STU0163,Information Science,4,7.79,8,"['Linux', 'C++', 'Git', 'JavaScript', 'Deep Learning', 'SQL', 'HTML', 'NLP']",0,2,0,6,0
STU0164,Electrical,3,5.44,5,"['AWS', 'MongoDB', 'React', 'HTML', 'Node.js']",1,5,4,1,1
STU0165,Electrical,4,8.54,11,"['HTML', 'Machine Learning', 'React', 'MySQL', 'JavaScript', 'MongoDB', 'AWS', 'C++', 'Django', 'Docker', 'Java']",7,4,2,7,1
STU0166,Information Science,4,8.23,11,"['CSS', 'Machine Learning', 'Docker', 'React', 'HTML', 'NLP', 'Deep Learning', 'Java', 'Linux', 'C++', 'Git']",7,5,0,9,1
STU0167,Mechanical,3,8.43,4,"['MySQL', 'CSS', 'Java', 'HTML']",7,0,4,6,0
STU0168,Electrical,4,8.95,3,"['Django', 'Node.js', 'SQL']",2,4,2,9,1
STU0169,Mechanical,4,5.17,10,"['NLP', 'C++', 'HTML', 'Java', 'MongoDB', 'Linux', 'SQL', 'Git', 'JavaScript', 'MySQL']",2,4,1,9,0
STU0170,Information Science,4,9.45,10,"['Python', 'JavaScript', 'Docker', 'C++', 'React', 'MySQL', 'Django', 'Linux', 'Node.js', 'Machine Learning']",6,0,2,5,1
STU0171,Computer Science,4,7.66,8,"['Django', 'Docker', 'Deep Learning', 'MongoDB', 'AWS', 'Node.js', 'React', 'Git']",0,4,4,9,1
STU0172,Electronics,4,5.93,9,"['Java', 'MongoDB', 'React', 'NLP', 'C++', 'CSS', 'AWS', 'Node.js', 'Django']",5,4,1,6,1
STU0173,Electronics,3,7.6,8,"['Deep Learning', 'C++', 'CSS', 'Machine Learning', 'MongoDB', 'Django', 'Java', 'MySQL']",5,0,2,9,1
STU0174,Information Science,3,8.62,5,"['MongoDB', 'HTML', 'React', 'Python', 'Linux']",0,2,2,9,1
STU0175,Electrical,4,8.71,4,"['CSS', 'SQL', 'C++', 'Node.js']",6,4,0,0,1
STU0176,Information Science,4,8.8,11,"['JavaScript', 'Java', 'SQL', 'Django', 'Docker', 'MySQL', 'HTML', 'Python', 'MongoDB', 'React', 'AWS']",5,4,2,2,1
STU0177,Civil,4,7.16,5,"['MongoDB', 'Git', 'HTML', 'Python', 'Django']",4,4,3,9,1
STU0178,Civil,4,5.32,5,"['CSS', 'HTML', 'C++', 'MongoDB', 'Git']",7,0,1,9,1
STU0179,Civil,4,9.09,6,"['Docker', 'Machine Learning', 'Java', 'SQL', 'Django', 'Linux']",4,5,1,9,1
STU0180,Electrical,4,8.17,8,"['HTML', 'Git', 'CSS', 'C++', 'SQL', 'JavaScript', 'Docker', 'NLP']",7,0,0,2,1
STU0181,Civil,4,6.77,3,"['C++', 'NLP', 'Python']",3,0,4,5,0
STU0182,Mechanical,4,7.77,7,"['Git', 'Python', 'C++', 'SQL', 'Machine Learning', 'Java', 'MySQL']",7,5,2,3,1
STU0183,Electronics,3,5.08,5,"['Java', 'JavaScript', 'Docker', 'Machine Learning', 'Deep Learning']",6,5,1,0,1
STU0184,Computer Science,4,6.02,5,"['MongoDB', 'React', 'Python', 'CSS', 'MySQL']",2,4,3,1,0
STU0185,Electronics,4,8.35,8,"['Django', 'NLP', 'Python', 'Machine Learning', 'Node.js', 'SQL', 'HTML', 'C++']",0,5,1,5,1
STU0186,Civil,4,9.61,9,"['JavaScript', 'Node.js', 'Linux', 'HTML', 'AWS', 'C++', 'Deep Learning', 'Machine Learning', 'Django']",2,3,1,1,1
STU0187,Computer Science,4,9.25,4,"['Java', 'AWS', 'Node.js', 'HTML']",7,2,4,6,1
STU0188,Information Science,3,6.47,6,"['CSS', 'C++', 'Java', 'NLP', 'Python', 'MongoDB']",5,2,1,1,0
